FID,id,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,geom
focos_brasil_hoje_ref.6e0da61e-2e28-36e5-a49f-a841a587fb8a,6e0da61e-2e28-36e5-a49f-a841a587fb8a,-42.155,-2.887,2020-09-24T16:35:00,AQUA_M-T,ÁGUA DOCE DO MARANHÃO,MARANHÃO,Brasil,2100154,21,33,,,,Cerrado,POINT (-2.887 -42.155)
focos_brasil_hoje_ref.9d73a92b-a4d7-3106-9d65-ba4a75592339,9d73a92b-a4d7-3106-9d65-ba4a75592339,-45.869,-2.382,2020-09-24T16:35:00,AQUA_M-T,PRESIDENTE MÉDICI,MARANHÃO,Brasil,2109239,21,33,,,,Amazônia,POINT (-2.382 -45.869)
focos_brasil_hoje_ref.fd92ea17-ded9-3b56-93c8-1510aeb9a9ce,fd92ea17-ded9-3b56-93c8-1510aeb9a9ce,-43.598,-2.673,2020-09-24T16:35:00,AQUA_M-T,HUMBERTO DE CAMPOS,MARANHÃO,Brasil,2105005,21,33,,,,Cerrado,POINT (-2.673 -43.598)
focos_brasil_hoje_ref.fbd5ef07-3e6e-37e1-b426-4084ef2e71d6,fbd5ef07-3e6e-37e1-b426-4084ef2e71d6,-54.681,-3.599,2020-09-24T16:35:00,AQUA_M-T,PLACAS,PARÁ,Brasil,1505650,15,33,,,,Amazônia,POINT (-3.599 -54.681)
focos_brasil_hoje_ref.88fce1e4-a983-3e6e-927a-0957e2ed0172,88fce1e4-a983-3e6e-927a-0957e2ed0172,-44.122,-4.084,2020-09-24T16:35:00,AQUA_M-T,COROATÁ,MARANHÃO,Brasil,2103604,21,33,,,,Cerrado,POINT (-4.084 -44.122)
focos_brasil_hoje_ref.996607cf-d595-3a0b-8b6f-65e06642f9e8,996607cf-d595-3a0b-8b6f-65e06642f9e8,-54.546,-3.654,2020-09-24T16:35:00,AQUA_M-T,PLACAS,PARÁ,Brasil,1505650,15,33,,,,Amazônia,POINT (-3.654 -54.546)
focos_brasil_hoje_ref.345783d7-3a85-378f-85c2-e0f97211cc5c,345783d7-3a85-378f-85c2-e0f97211cc5c,-43.589,-2.672,2020-09-24T16:35:00,AQUA_M-T,HUMBERTO DE CAMPOS,MARANHÃO,Brasil,2105005,21,33,,,,Cerrado,POINT (-2.672 -43.589)
focos_brasil_hoje_ref.75b3ba48-d1fb-330f-ae67-0b9bdd3aa59e,75b3ba48-d1fb-330f-ae67-0b9bdd3aa59e,-44.113,-4.082,2020-09-24T16:35:00,AQUA_M-T,COROATÁ,MARANHÃO,Brasil,2103604,21,33,,,,Cerrado,POINT (-4.082 -44.113)
focos_brasil_hoje_ref.0b63e1bc-334c-3cb0-81bf-b2f3a5eccd73,0b63e1bc-334c-3cb0-81bf-b2f3a5eccd73,-44.264,-4.029,2020-09-24T16:35:00,AQUA_M-T,COROATÁ,MARANHÃO,Brasil,2103604,21,33,,,,Cerrado,POINT (-4.029 -44.264)
focos_brasil_hoje_ref.b7a9b754-5bb4-3604-a594-d9daf5bc4019,b7a9b754-5bb4-3604-a594-d9daf5bc4019,-50.49,-2.881,2020-09-24T16:35:00,AQUA_M-T,PORTEL,PARÁ,Brasil,1505809,15,33,,,,Amazônia,POINT (-2.881 -50.49)
focos_brasil_hoje_ref.d9eed66b-4563-34a9-8941-8350a0294dac,d9eed66b-4563-34a9-8941-8350a0294dac,-40.338,-3.845,2020-09-24T16:35:00,AQUA_M-T,FORQUILHA,CEARÁ,Brasil,2304350,23,33,,,,Caatinga,POINT (-3.845 -40.338)
focos_brasil_hoje_ref.d5095314-ae5c-33f6-b938-7a4ee18f39cf,d5095314-ae5c-33f6-b938-7a4ee18f39cf,-44.266,-4.021,2020-09-24T16:35:00,AQUA_M-T,COROATÁ,MARANHÃO,Brasil,2103604,21,33,,,,Cerrado,POINT (-4.021 -44.266)
focos_brasil_hoje_ref.97276713-a80e-3a7c-bdb1-19a5e0f7ba4f,97276713-a80e-3a7c-bdb1-19a5e0f7ba4f,-46.604,-1.96,2020-09-24T16:35:00,AQUA_M-T,VISEU,PARÁ,Brasil,1508308,15,33,,,,Amazônia,POINT (-1.96 -46.604)
